target_line,group_id,point_id,x,y,z,rx,ry,rz,speed,is_discontinuous,coordinate_frame,base_normal_error_mm,base_x_actual_mm,standoff_mm,base_height_mm,lift_mm
1,106,85,-0.10277836975865862,0.19309244398010939,0.363987500036066,-1.5717470395242152,0.075112199647381805,3.1289241834510033,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,1,-0.32593122750290759,-0.28581691448506602,0.35077060633388452,-1.569670260662674,-0.034004505250119221,3.1084831566719,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,2,-0.35581402392380101,-0.28585759586381893,0.35180365720425455,-1.569508555516604,-0.029925227784176833,3.0985797871468588,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,3,-0.38574975243962029,-0.28585113563695719,0.35322772103526356,-1.5693878319189931,-0.030566810037315317,3.0955388101969907,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,4,-0.40974315958243057,-0.28584233696264577,0.354378094551419,-1.5692879286563759,-0.031443377739583944,3.0936495920119178,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,5,-0.49928688174689828,-0.25601944113518299,0.35883030775822383,-1.5698728316489012,-0.013733330697508261,3.0744468083346597,10,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,6,-0.46939620465981258,-0.25596001742555924,0.35692508700422715,-1.5695697256723262,-0.019669351842287019,3.079308233052136,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,7,-0.43950554165696687,-0.25590058741034716,0.35501927570806324,-1.5693242207605973,-0.025609829205958778,3.0841674628029878,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,8,-0.40960594651185045,-0.25587413449145413,0.35342661165116124,-1.5693339829026893,-0.028260551140039558,3.0898867968587265,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,9,-0.3797018439778479,-0.25586437671596901,0.35199228991851172,-1.5694635167488071,-0.029244185196495742,3.0960424431912861,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,10,-0.34977400656627,-0.2558473736377998,0.3507342320702927,-1.5695270104028571,-0.030949602597078352,3.100596700872682,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,11,-0.31983678113467562,-0.25582750478744076,0.34954583427871938,-1.5695747138066087,-0.032940877538857549,3.1045179071309663,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,12,-0.32795004809382666,-0.22584015582011979,0.34903863794198137,-1.5695425320725003,-0.031672950368562658,3.1020210192538178,10,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,13,-0.35790434874983967,-0.22585136957675028,0.35022737954152205,-1.5695193040290611,-0.030549157731053711,3.0998082377865277,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,14,-0.38784917446031342,-0.22586327057412398,0.35143716864179814,-1.5694789720359243,-0.029355658886422997,3.0967406157275703,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,15,-0.41769404165334945,-0.22589160309155573,0.35291329206503391,-1.5692921221189582,-0.026508199293598045,3.0849018911985944,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,16,-0.44753790943271921,-0.22600821505771537,0.35481721644090652,-1.5698111550601563,-0.014854435964540835,3.0753654687846552,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,17,-0.47739848248932537,-0.22609807090676315,0.35694331082592184,-1.5703687330909721,-0.0058854540395039123,3.0690670304492764,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,18,-0.50727505477962453,-0.22616225327284328,0.35928394941738045,-1.5708354558538047,0.00051582256810478455,3.0658800603020979,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,19,-0.5016388263199687,-0.19617797950991597,0.35900694874049049,-1.5709560389781048,0.0020838182427478369,3.0650981392379855,10,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,20,-0.47174718408338001,-0.19614420593686407,0.35666540383468076,-1.5707000966139208,-0.0012838279742415359,3.0667768712294547,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,21,-0.44185554400489147,-0.19611042827404812,0.35432371644278893,-1.5704554244847342,-0.0046527402632696724,3.0684539320632602,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,22,-0.41196390572573383,-0.19607664724541146,0.35198188654140256,-1.5702220156645097,-0.0080228557922297217,3.0701294043895224,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,23,-0.38236910156185555,-0.19614245242150957,0.35042486927821942,-1.5707442647403287,-0.0014618543539384188,3.1059939778400443,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,24,-0.35241939655490251,-0.19619454064884709,0.3494242497368748,-1.5709170798469936,0.0037441041762376059,3.1093522330716814,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,25,-0.32246969692534289,-0.19624663354043501,0.34842324603171793,-1.5710549519543964,0.0089517158903660299,3.1127091749613678,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,26,-0.29252000073784989,-0.19629872809317264,0.34742185810896242,-1.5711578785519458,0.014160645746274181,3.1160651937829251,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,27,-0.26257030605668241,-0.19635082130374037,0.34642008595912177,-1.5712258538138071,0.019370558827581874,3.1194206801299122,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,28,-0.23260263706211237,-0.19637719930423031,0.34579688147890381,-1.5712329776045846,0.022009355306561007,3.1217543258562492,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,29,-0.20261605969418928,-0.19637652806027078,0.34557221881001904,-1.5712040260853168,0.021942758378229676,3.1230131702093864,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,30,-0.17262948265466549,-0.196375856453952,0.34534754027262871,-1.5711752423515128,0.021876087409424594,3.124272010463494,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,31,-0.14264290591358564,-0.19637518448687075,0.34512284586604919,-1.5711466266124838,0.021809342875461324,3.125530845640125,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,32,-0.11265632944099258,-0.19637451216062568,0.34489813558967269,-1.5711181790759423,0.021742525252358202,3.1267896747609707,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,33,-0.11580368127122798,-0.16637403261762437,0.34558985729273939,-1.5710980006647719,0.0216948442980196,3.1276871332372553,10,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,34,-0.14578796684980388,-0.16637482762839878,0.34581454122326355,-1.5711315043339749,0.021773881939757933,3.126199093475579,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,35,-0.17577225278132191,-0.16637562213849022,0.34603920297806673,-1.5711652431903738,0.021852817805495528,3.1247110445263835,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,36,-0.20575653911526515,-0.16637641614525694,0.34626384255809783,-1.5711992168920332,0.021931651108457073,3.1232229880055087,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,37,-0.23574082590111356,-0.16637720964606062,0.34648845996445371,-1.5712334250939017,0.022010381063231721,3.1217349255290552,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,38,-0.26570298297691286,-0.16638000496697564,0.34717940213843368,-1.5713002190247172,0.022288626525871269,3.1189870366342767,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,39,-0.29565043619845399,-0.16638412815003878,0.34818013450607094,-1.5713909161482151,0.022698958622780152,3.1154018259247822,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,40,-0.32559789264415495,-0.16638824797567001,0.34918073686387519,-1.5714845547230616,0.023108589764649912,3.1118164590537662,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,41,-0.35554535301292578,-0.16639236436347038,0.35018120923307339,-1.5715811290818207,0.023517496211425515,3.1082309565413455,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,42,-0.38546266584502398,-0.16640142618062348,0.35122120131709567,-1.571769056707776,0.024417663548601976,3.1017726008900217,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,43,-0.41523672232133313,-0.16635229582566088,0.35262408413226143,-1.5719475244015246,0.019488833457576904,3.0825878594276173,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,44,-0.44505970045659637,-0.16629279507024003,0.35473811300043434,-1.571732745780928,0.013539559358844766,3.0725387864167515,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,45,-0.47493704184153951,-0.16626517407145736,0.35707908274546529,-1.571575667599773,0.010781465275334634,3.0694315132021108,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,46,-0.5048143901382014,-0.16623755740858481,0.35941987950842386,-1.5714014999332702,0.0080250195223703358,3.0663235027113136,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,47,-0.50408409555655287,-0.1362478570934782,0.35952705295408044,-1.5714684572668731,0.0090528951462205409,3.0674827950536723,10,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,107,48,-0.47421629998080816,-0.13628397410218077,0.35718676175743375,-1.5716844420318083,0.01265861331456164,3.0715465786730145,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
