group_id,point_id,robot_x,robot_y,robot_theta,tcp_x_mm,tcp_y_mm,tcp_z_mm,tcp_rx_deg,tcp_ry_deg,tcp_rz_deg,world_x,world_y,world_z
105,137,-2.0,0.394193,89.7905,12.3166,1590.0159,-352.4564,-179.9902,0.994,0.0006,1.192763172,1.987460664,0.601863418
105,138,-2.0,0.394193,89.7905,45.3626,1567.2911,-353.5289,-179.765,2.1562,0.0095,1.170119191,1.954234581,0.600877988
105,139,-2.0,0.394193,89.7905,45.3107,1536.9812,-353.5997,-179.6463,2.1508,0.0144,1.139796045,1.954243759,0.600742416
105,140,-2.0,0.394193,89.7905,45.308,1506.5388,-353.8329,-179.498,2.1448,0.0192,1.109372207,1.954262014,0.600558305
105,141,-2.0,0.394193,89.7905,45.2648,1475.908,-354.2058,-179.2685,2.1299,0.0261,1.078734815,1.954305155,0.600186789
105,142,-2.0,0.394193,89.7905,45.2074,1445.5537,-354.5188,-179.1106,2.1166,0.0332,1.048307989,1.95433964,0.599790907
105,143,-2.0,0.394193,89.7905,45.1683,1415.0121,-355.0537,-178.8967,2.0906,0.0393,1.017724305,1.95441212,0.599214434
105,144,-2.0,0.394193,89.7905,45.055,1384.4796,-355.6973,-178.7231,2.0706,0.0471,0.987233124,1.954472037,0.598617788
105,145,-2.0,0.394193,89.7905,45.0108,1354.0254,-356.4323,-178.5322,2.0356,0.0511,0.95671947,1.954564277,0.59782922
105,146,-2.0,0.394193,89.7905,44.878,1323.3757,-357.2739,-178.2977,1.9966,0.0591,0.92606709,1.954677171,0.597009943
105,147,-2.0,0.394193,89.7905,44.7928,1292.9349,-358.2943,-178.1365,1.958,0.0627,0.895629387,1.954782788,0.595993513
105,148,-2.0,0.394193,89.7905,44.6018,1262.1915,-359.3121,-177.8281,1.8876,0.0717,0.864796435,1.954975629,0.594927691
105,149,-2.0,0.394193,89.7905,44.5027,1231.8444,-360.5382,-177.6811,1.8456,0.0743,0.834418036,1.955092721,0.593665565
105,150,-2.0,0.394193,89.7905,44.5697,1200.7084,-361.9011,-177.2471,1.8883,0.0921,0.803235608,1.954973234,0.592295717
105,151,-2.0,0.394193,89.7905,46.0059,1170.1733,-363.5271,-177.0268,2.4503,0.1297,0.772669145,1.953407876,0.590647477
105,152,-2.0,0.394193,89.7905,46.0624,1138.828,-365.2582,-176.4778,2.4676,0.1534,0.741197122,1.953355414,0.588858058
105,153,-2.0,0.394193,89.7905,45.7595,1111.533,-366.9596,-176.4384,2.3403,0.1472,0.713909073,1.953702812,0.587152502
105,154,-2.0,0.394193,89.7905,79.1398,1120.8307,-368.2731,-176.17,3.6649,0.2523,0.723116161,1.920025672,0.58590316
105,155,-2.0,0.394193,89.7905,79.046,1152.2299,-366.4961,-176.7244,3.6035,0.206,0.754589073,1.920188517,0.587725641
105,156,-2.0,0.394193,89.7905,78.3412,1183.1018,-364.7748,-177.072,3.3306,0.1712,0.785505393,1.920951001,0.589465983
105,157,-2.0,0.394193,89.7905,77.6339,1213.9637,-363.0467,-177.4181,3.0586,0.1371,0.816422469,1.921713691,0.591196878
105,158,-2.0,0.394193,89.7905,77.2596,1244.538,-361.5153,-177.6384,2.9221,0.1207,0.847007058,1.922091941,0.592714479
105,159,-2.0,0.394193,89.7905,77.5291,1275.278,-360.3677,-177.9256,3.0173,0.1089,0.877781933,1.921827894,0.593884315
105,160,-2.0,0.394193,89.7905,77.6042,1305.4556,-359.345,-178.0167,3.0559,0.1059,0.908012204,1.921725674,0.594944153
105,161,-2.0,0.394193,89.7905,77.6595,1336.499,-358.3514,-178.411,3.0714,0.0854,0.939097536,1.92167725,0.595949225
105,162,-2.0,0.394193,89.7905,77.83,1366.8011,-357.5362,-178.5284,3.1256,0.08,0.969416492,1.921528177,0.596763733
105,163,-2.0,0.394193,89.7905,77.7461,1397.5768,-356.9388,-178.8086,3.1047,0.0669,1.000197291,1.921582734,0.597336432
105,164,-2.0,0.394193,89.7905,77.7975,1428.0725,-356.9723,-179.0022,3.0984,0.0532,1.030731768,1.921595886,0.597294892
105,165,-2.0,0.394193,89.7905,77.7415,1458.5911,-357.0656,-179.1947,3.0948,0.0453,1.061266297,1.921609039,0.597251562
105,166,-2.0,0.394193,89.7905,77.7647,1489.0863,-357.1328,-179.3873,3.0898,0.0325,1.091800871,1.921622194,0.597206442
105,167,-2.0,0.394193,89.7905,77.7362,1519.595,-357.193,-179.5785,3.0854,0.0241,1.122335479,1.921635349,0.597159532
105,168,-2.0,0.394193,89.7905,77.7088,1550.1222,-357.2315,-179.7703,3.0791,0.015,1.152870114,1.921648505,0.597110832
105,169,-2.0,0.394193,89.7905,77.7275,1580.6101,-357.3365,-179.9646,3.0755,0.0025,1.183404765,1.921661662,0.597060342
106,1,-2.4,0.39024,89.7068,-114.4156,1573.8612,-383.149,-179.9126,-5.4312,-0.0067,1.176603041,2.515375341,0.571166795
106,2,-2.4,0.39024,89.7068,-114.401,1543.4182,-383.1789,-179.7949,-5.4283,-0.0181,1.146260145,2.515363525,0.571166881
106,3,-2.4,0.39024,89.7068,-114.3969,1513.0557,-383.1773,-179.6724,-5.422,-0.0302,1.115917251,2.51535171,0.571166228
106,4,-2.4,0.39024,89.7068,-114.3829,1482.7711,-383.1175,-179.5416,-5.4167,-0.0426,1.085574362,2.515339895,0.571164835
106,5,-2.4,0.39024,89.7068,-114.3783,1452.399,-383.1464,-179.4215,-5.4125,-0.0537,1.05523148,2.515328079,0.571162704
106,6,-2.4,0.39024,89.7068,-114.3784,1422.0884,-383.1014,-179.2965,-5.4079,-0.0649,1.024888607,2.515316265,0.571159834
106,7,-2.4,0.39024,89.7068,-114.362,1391.7083,-383.1327,-179.1764,-5.404,-0.0762,0.994545745,2.51530445,0.571156224
106,8,-2.4,0.39024,89.7068,-114.3572,1361.4042,-383.1003,-179.0501,-5.3994,-0.0855,0.964202898,2.515292636,0.571151876
106,9,-2.4,0.39024,89.7068,-114.3515,1331.0891,-383.0787,-178.9242,-5.3944,-0.0997,0.933860067,2.515280823,0.571146789
106,10,-2.4,0.39024,89.7068,-114.33,1300.7382,-383.0767,-178.8021,-5.3895,-0.1115,0.903517255,2.51526901,0.571140964
