group_id,point_id,q1,q2,q3,q4,q5,q6,collision_detected,lift_height
117,83,-1.625842862,-0.229289764,0.915755859,-2.260174448,-1.497329327,-0.055197615,FALSE,150.0
117,84,-1.624526059,-0.183631738,0.801350635,-2.189790004,-1.497403632,-0.053877557,FALSE,150.0
117,85,-1.623279423,-0.129537403,0.669978567,-2.111507753,-1.497451224,-0.052627657,FALSE,150.0
117,86,-1.645686243,-0.115307475,0.638547664,-2.090515385,-1.49761039,-0.075094557,FALSE,150.0
117,87,-1.647488884,-0.172315843,0.777157379,-2.174226695,-1.49745986,-0.076902377,FALSE,150.0
117,88,-1.64936361,-0.21941424,0.894583397,-2.24611861,-1.497346758,-0.078782124,FALSE,150.0
117,89,-1.651367553,-0.260247562,1.00099665,-2.314799803,-1.497138274,-0.080790734,FALSE,150.0
117,90,-1.653441272,-0.295979103,1.096383021,-2.376365148,-1.497007475,-0.082869047,FALSE,150.0
117,91,-1.655642385,-0.327894913,1.185925824,-2.437006555,-1.496826823,-0.085073741,FALSE,150.0
117,92,-1.657940209,-0.356496743,1.268780703,-2.493345227,-1.496693837,-0.087375422,FALSE,150.0
117,93,-1.660382844,-0.382191745,1.348492503,-2.550921211,-1.49651422,-0.089819421,FALSE,150.0
117,94,-1.662940466,-0.405329272,1.423036293,-2.60457405,-1.496384432,-0.092379589,FALSE,150.0
117,95,-1.665663182,-0.425749593,1.496341738,-2.662061135,-1.496213181,-0.095098931,FALSE,150.0
117,96,-1.668525045,-0.444122391,1.564677237,-2.714246179,-1.496091788,-0.097961625,FALSE,150.0
117,97,-1.671565096,-0.459434002,1.633267849,-2.773309095,-1.495957507,-0.100989787,FALSE,150.0
117,98,-1.674795409,-0.473135444,1.696960493,-2.82576201,-1.495831585,-0.104217522,FALSE,150.0
117,99,-1.674132519,-0.482630344,1.762111882,-2.890706708,-1.503567186,-0.103458182,FALSE,150.0
117,100,-1.675086073,-0.492038772,1.82024047,-2.940773546,-1.508231127,-0.104377066,FALSE,150.0
117,101,-1.676043128,-0.494308648,1.834996845,-2.953054238,-1.508166127,-0.105336095,FALSE,150.0
117,102,-1.717287078,-0.493477969,1.837901671,-2.950072661,-1.494696243,-0.146768478,FALSE,150.0
117,103,-1.712527596,-0.484496108,1.779969934,-2.90079606,-1.494595932,-0.142005199,FALSE,150.0
117,104,-1.707914485,-0.474971118,1.716761768,-2.841683904,-1.494820916,-0.137414104,FALSE,150.0
117,105,-1.703547251,-0.462346582,1.652526789,-2.786242823,-1.495118783,-0.133055123,FALSE,150.0
117,106,-1.699447284,-0.447518183,1.585564756,-2.729651,-1.495406408,-0.128963054,FALSE,150.0
117,107,-1.69558847,-0.430047853,1.51680785,-2.674868326,-1.495685695,-0.125105769,FALSE,150.0
117,108,-1.691958781,-0.41022768,1.44545224,-2.620056416,-1.495940523,-0.121475381,FALSE,150.0
117,109,-1.688524773,-0.387891717,1.371055382,-2.564938386,-1.49620351,-0.118038575,FALSE,150.0
117,110,-1.685290828,-0.363020444,1.293438465,-2.509612877,-1.496427952,-0.114800191,FALSE,150.0
117,111,-1.682212099,-0.335292542,1.211149907,-2.452232627,-1.496684386,-0.111716403,FALSE,150.0
117,112,-1.67931925,-0.304533925,1.124534846,-2.394410913,-1.496867461,-0.108817332,FALSE,150.0
117,113,-1.676530973,-0.26989598,1.030004822,-2.331524745,-1.497148767,-0.106022738,FALSE,150.0
117,114,-1.673919849,-0.230978542,0.928456666,-2.267123,-1.497319601,-0.103404772,FALSE,150.0
117,115,-1.67138378,-0.185592233,0.812924315,-2.193829566,-1.4976184,-0.100861222,FALSE,150.0
117,116,-1.669024271,-0.132237208,0.682546201,-2.11542906,-1.49775457,-0.098494696,FALSE,150.0
117,117,-1.697810606,-0.130753296,0.685519215,-2.117830575,-1.481645667,-0.127525942,FALSE,150.0
117,118,-1.700823355,-0.183620711,0.814445436,-2.194571491,-1.481576203,-0.130551163,FALSE,150.0
117,119,-1.704015225,-0.228574522,0.928049045,-2.265055954,-1.481419847,-0.133756177,FALSE,150.0
117,120,-1.707367096,-0.267575491,1.030367498,-2.330614828,-1.481258634,-0.137120854,FALSE,150.0
117,121,-1.710850995,-0.301977987,1.122458369,-2.389139462,-1.481193153,-0.140618161,FALSE,150.0
117,122,-1.711916232,-0.333042872,1.210705813,-2.450566021,-1.487367045,-0.141604819,FALSE,150.0
117,123,-1.712375809,-0.360957125,1.290823593,-2.504626519,-1.495087846,-0.141976614,FALSE,150.0
117,124,-1.715852467,-0.385821143,1.370054147,-2.563255948,-1.495997006,-0.14544269,FALSE,150.0
117,125,-1.720024956,-0.408337127,1.442986611,-2.614982808,-1.495805948,-0.149623712,FALSE,150.0
117,126,-1.724587322,-0.427992727,1.515690707,-2.672654453,-1.495293015,-0.154186277,FALSE,150.0
117,127,-1.729321168,-0.445689817,1.583616962,-2.725202663,-1.494997599,-0.158924442,FALSE,150.0
117,128,-1.734451797,-0.460446884,1.651028535,-2.782674309,-1.494484696,-0.164047866,FALSE,150.0
117,129,-1.739890419,-0.472933891,1.715762994,-2.839235066,-1.494010555,-0.169476899,FALSE,150.0
117,130,-1.745697548,-0.482644853,1.778692667,-2.897255016,-1.493513374,-0.175266276,FALSE,150.0
117,131,-1.751626119,-0.491042576,1.837681678,-2.949611287,-1.493531216,-0.181189855,FALSE,150.0
117,132,-1.751823904,-0.49129392,1.839568204,-2.951271141,-1.493538569,-0.181387633,FALSE,150.0
117,133,-1.786216925,-0.488765328,1.839250552,-2.95080244,-1.492477354,-0.215868554,FALSE,150.0
117,134,-1.780939117,-0.480387595,1.780318607,-2.897841313,-1.489077263,-0.210655442,FALSE,150.0
117,135,-1.778580512,-0.471670965,1.714426172,-2.829991983,-1.480669212,-0.208518938,FALSE,150.0
117,136,-1.772134909,-0.458414272,1.651496812,-2.778582274,-1.480738943,-0.202064107,FALSE,150.0
117,137,-1.766131464,-0.443646995,1.583922397,-2.720790558,-1.480705417,-0.19607126,FALSE,150.0
117,138,-1.760427158,-0.425841098,1.516558939,-2.669660597,-1.480770207,-0.190354153,FALSE,150.0
117,139,-1.755056726,-0.406110857,1.444487,-2.613408069,-1.480817289,-0.184980611,FALSE,150.0
