target_line,group_id,point_id,q1,q2,q3,q4,q5,q6,is_discontinuous,is_task_waypoint,source_point_id,waypoint_kind,speed,base_normal_error_mm,base_x_actual_mm,standoff_mm,base_height_mm,lift_mm
1,132,241,-1.706090022,-0.1586413658,0.5527897552,-1.966724554,-1.549675373,-0.1353261962,0,1,184,task,30,0,-1610,50,652,0
1,132,242,-1.701124095,-0.2042263884,0.6519121097,-2.010834328,-1.495686632,-0.1307014465,0,1,185,task,10,0,-1610,50,652,0
1,132,243,-1.702599385,-0.2331344299,0.7181356628,-2.047415136,-1.49578978,-0.1321800712,0,0,,transition,30,0,-1610,50,652,0
1,132,244,-1.704074676,-0.2620424715,0.7843592158,-2.083995944,-1.495892928,-0.133658696,0,1,186,task,30,0,-1610,50,652,0
1,132,245,-1.705618546,-0.2866149601,0.8413640116,-2.115689021,-1.496000867,-0.1352059026,0,0,,transition,30,0,-1610,50,652,0
1,132,246,-1.707162416,-0.3111874487,0.8983688074,-2.147382098,-1.496108807,-0.1367531093,0,1,187,task,30,0,-1610,50,652,0
1,132,247,-1.708779775,-0.3328676976,0.9493267234,-2.175915706,-1.496221898,-0.1383738042,0,0,,transition,30,0,-1610,50,652,0
1,132,248,-1.710397134,-0.3545479464,1.000284639,-2.204449315,-1.49633499,-0.1399944991,0,1,188,task,30,0,-1610,50,652,0
1,132,249,-1.713789611,-0.3936655482,1.093511953,-2.257060599,-1.496572271,-0.1433936393,0,1,189,task,30,0,-1610,50,652,0
1,132,250,-1.717351711,-0.4294730671,1.180129729,-2.306361401,-1.496821532,-0.1469623862,0,1,190,task,30,0,-1610,50,652,0
1,132,251,-1.721096524,-0.4625809676,1.261517965,-2.353120471,-1.497083747,-0.1507138186,0,1,191,task,30,0,-1610,50,652,0
1,132,252,-1.724990593,-0.4934245821,1.338007944,-2.396521222,-1.497499737,-0.1546119444,0,1,192,task,30,0,-1610,50,652,0
1,132,253,-1.727678992,-0.5230494496,1.401895641,-2.418360382,-1.501943222,-0.1572297498,0,1,193,task,30,0,-1610,50,652,0
1,132,254,-1.729230332,-0.5516565389,1.470213095,-2.454406096,-1.509955088,-0.1586840882,0,1,194,task,30,0,-1610,50,652,0
1,132,255,-1.73086409,-0.5788588158,1.536069145,-2.48941759,-1.517981508,-0.1602256008,0,1,195,task,30,0,-1610,50,652,0
1,132,256,-1.732587556,-0.6047780953,1.599784484,-2.523595078,-1.526023211,-0.1618616725,0,1,196,task,30,0,-1610,50,652,0
1,132,257,-1.732078222,-0.6299667014,1.660229966,-2.554449059,-1.539961859,-0.1612257815,0,1,197,task,10,0,-1610,50,652,0
1,132,258,-1.732712261,-0.654536609,1.717389443,-2.579913447,-1.5509971,-0.1617487892,0,1,198,task,30,0,-1610,50,652,0
1,132,259,-1.742862751,-0.6801747519,1.769372516,-2.589858723,-1.539511593,-0.1718020142,0,1,199,task,10,0,-1610,50,652,0
1,132,260,-1.750072503,-0.703196343,1.829291435,-2.624038482,-1.536434366,-0.1789972776,0,1,200,task,30,0,-1610,50,652,0
1,132,261,-1.757762861,-0.7251970063,1.887952549,-2.657914157,-1.53343197,-0.186672698,0,1,201,task,30,0,-1610,50,652,0
1,132,262,-1.765983702,-0.7461866673,1.945496067,-2.691610177,-1.530513,-0.1948779152,0,1,202,task,30,0,-1610,50,652,0
1,132,263,-1.769389135,-0.7541975486,1.967944214,-2.704897134,-1.529385202,-0.1982769232,0,1,203,task,30,0,-1610,50,652,0
1,132,264,-1.733985413,-0.7569605435,1.969784918,-2.705486576,-1.526594684,-0.1629509618,0,1,204,task,10,0,-1610,50,652,0
1,132,265,-1.729406849,-0.7361428549,1.913336632,-2.67238035,-1.523801843,-0.158429037,0,1,205,task,30,0,-1610,50,652,0
1,132,266,-1.725127275,-0.7143648108,1.855851216,-2.639206681,-1.521052946,-0.1542026878,0,1,206,task,30,0,-1610,50,652,0
1,132,267,-1.721118136,-0.6916217442,1.797199988,-2.605840476,-1.518343889,-0.1502436635,0,1,207,task,30,0,-1610,50,652,0
1,132,268,-1.717572345,-0.6677607914,1.738028948,-2.574017938,-1.515150204,-0.1467582084,0,1,208,task,30,0,-1610,50,652,0
1,132,269,-1.718151786,-0.6405716125,1.69588456,-2.584929898,-1.502301964,-0.1476379042,0,1,209,task,30,0,-1610,50,652,0
1,132,270,-1.713990375,-0.6167357743,1.633551268,-2.549547472,-1.50143954,-0.1434893413,0,1,210,task,30,0,-1610,50,652,0
1,132,271,-1.710016433,-0.5917336148,1.569032853,-2.512678776,-1.500735241,-0.1395231388,0,1,211,task,30,0,-1610,50,652,0
1,132,272,-1.706261946,-0.5654097976,1.502427921,-2.475034893,-1.500058457,-0.135774981,0,1,212,task,30,0,-1610,50,652,0
1,132,273,-1.702709141,-0.5376529704,1.43342331,-2.436414712,-1.49940695,-0.13222722,0,1,213,task,30,0,-1610,50,652,0
1,132,274,-1.699380544,-0.5085505183,1.362480861,-2.398091177,-1.498667404,-0.1289056996,0,1,214,task,30,0,-1610,50,652,0
1,132,275,-1.696298334,-0.4782729127,1.290264303,-2.361616467,-1.497719085,-0.1258342272,0,1,215,task,30,0,-1610,50,652,0
1,132,276,-1.693361246,-0.4461072998,1.214407341,-2.323360464,-1.496812216,-0.1229036029,0,1,216,task,30,0,-1610,50,652,0
1,132,277,-1.690358889,-0.4114234928,1.130294736,-2.275610033,-1.49657081,-0.1198961372,0,1,217,task,30,0,-1610,50,652,0
1,132,278,-1.687500729,-0.3737347087,1.040239579,-2.224912628,-1.496340758,-0.117032772,0,1,218,task,30,0,-1610,50,652,0
1,132,279,-1.684776588,-0.3322704855,0.9425169686,-2.170314433,-1.496121233,-0.1143033421,0,1,219,task,30,0,-1610,50,652,0
1,132,280,-1.683476907,-0.3090379981,0.8884647962,-2.140320738,-1.496016362,-0.1130009808,0,0,,transition,30,0,-1610,50,652,0
1,132,281,-1.682177227,-0.2858055108,0.8344126238,-2.110327043,-1.495911491,-0.1116986194,0,1,220,task,30,0,-1610,50,652,0
1,132,282,-1.680935733,-0.2589945325,0.7727965344,-2.076344074,-1.495811174,-0.1104544129,0,0,,transition,30,0,-1610,50,652,0
1,132,283,-1.679694239,-0.2321835543,0.7111804449,-2.042361106,-1.495710857,-0.1092102064,0,1,221,task,30,0,-1610,50,652,0
1,132,284,-1.678507098,-0.1995419861,0.6370597337,-2.001700496,-1.495614786,-0.1080203256,0,0,,transition,30,0,-1610,50,652,0
1,132,285,-1.677319957,-0.1669004179,0.5629390225,-1.961039886,-1.495518715,-0.1068304449,0,1,222,task,30,0,-1610,50,652,0
1,132,286,-1.656022547,-0.2017215158,0.6371375033,-2.000230937,-1.495588555,-0.08547180388,0,1,223,task,10,0,-1610,50,652,0
1,132,287,-1.656978241,-0.231156723,0.7041969227,-2.036908006,-1.495682128,-0.08642958104,0,0,,transition,30,0,-1610,50,652,0
1,132,288,-1.657933935,-0.2605919302,0.7712563422,-2.073585075,-1.495775702,-0.0873873582,0,1,224,task,30,0,-1610,50,652,0
1,132,289,-1.658933701,-0.2855271361,0.828719381,-2.105162839,-1.495873304,-0.08838913977,0,0,,transition,30,0,-1610,50,652,0
1,132,290,-1.659933467,-0.310462342,0.8861824198,-2.136740604,-1.495970905,-0.08939092134,0,1,225,task,30,0,-1610,50,652,0
1,132,291,-1.660980437,-0.3324309697,0.9374166902,-2.165053059,-1.496072821,-0.09043983363,0,0,,transition,30,0,-1610,50,652,0
1,132,292,-1.662027407,-0.3543995975,0.9886509605,-2.193365514,-1.496174736,-0.09148874593,0,1,226,task,30,0,-1610,50,652,0
1,132,293,-1.664221981,-0.3940173333,1.082210858,-2.245381941,-1.496389887,-0.09368701834,0,1,227,task,30,0,-1610,50,652,0
1,132,294,-1.666450609,-0.4301837452,1.167606737,-2.291278905,-1.49684575,-0.09591607228,0,1,228,task,30,0,-1610,50,652,0
1,132,295,-1.668790029,-0.4637408557,1.24784397,-2.334620565,-1.497319075,-0.09825483525,0,1,229,task,30,0,-1610,50,652,0
1,132,296,-1.67124877,-0.4951073576,1.323877695,-2.375942983,-1.497811156,-0.1007117449,0,1,230,task,30,0,-1610,50,652,0
1,132,297,-1.673830184,-0.5247208657,1.396483568,-2.415641581,-1.498340214,-0.103290026,0,1,231,task,30,0,-1610,50,652,0
1,132,298,-1.676520386,-0.5533468842,1.466461746,-2.453975473,-1.498971762,-0.105975703,0,1,232,task,30,0,-1610,50,652,0
1,132,299,-1.679360109,-0.5804974003,1.533874936,-2.491212715,-1.499624496,-0.1088096507,0,1,233,task,30,0,-1610,50,652,0
1,132,300,-1.682362256,-0.606301688,1.599066238,-2.527566607,-1.500300209,-0.1118046589,0,1,234,task,30,0,-1610,50,652,0
1,132,301,-1.685444568,-0.6309728633,1.661582848,-2.561449902,-1.501244264,-0.1148727641,0,1,235,task,30,0,-1610,50,652,0
1,132,302,-1.688379508,-0.6549666213,1.720060133,-2.588945167,-1.503027928,-0.1177700268,0,1,236,task,30,0,-1610,50,652,0
1,132,303,-1.688725399,-0.6803735223,1.770206366,-2.598550562,-1.511386802,-0.1179648409,0,1,237,task,30,0,-1610,50,652,0
1,132,304,-1.690730833,-0.7041195813,1.82606032,-2.624063821,-1.515996401,-0.119890218,0,1,238,task,30,0,-1610,50,652,0
1,132,305,-1.693575228,-0.7265384793,1.883544216,-2.656027345,-1.519068453,-0.1226876726,0,1,239,task,30,0,-1610,50,652,0
1,132,306,-1.696612939,-0.7480380946,1.939934444,-2.687824531,-1.522172071,-0.1256757347,0,1,240,task,30,0,-1610,50,652,0
1,132,307,-1.698316654,-0.759114257,1.969561847,-2.704731851,-1.523838997,-0.1273518142,0,1,241,task,30,0,-1610,50,652,0
1,132,308,-1.662473697,-0.7606489106,1.967275428,-2.702638859,-1.521129719,-0.09156962222,0,1,242,task,10,0,-1610,50,652,0
1,132,309,-1.660878309,-0.7393519735,1.912334713,-2.67298631,-1.517432415,-0.09001922509,0,1,243,task,30,0,-1610,50,652,0
1,132,310,-1.659384297,-0.7172000144,1.856370623,-2.643172052,-1.513754462,-0.08856820032,0,1,244,task,30,0,-1610,50,652,0
1,132,311,-1.658285445,-0.6940364893,1.801471106,-2.618252964,-1.509389136,-0.08752846458,0,1,245,task,30,0,-1610,50,652,0
1,132,312,-1.657566798,-0.6699674279,1.747782374,-2.598523431,-1.504275372,-0.08688199233,0,1,246,task,30,0,-1610,50,652,0
1,132,313,-1.656096822,-0.6459290072,1.690595862,-2.572673802,-1.501137026,-0.08545422829,0,1,247,task,30,0,-1610,50,652,0
1,132,314,-1.653883758,-0.6217271383,1.629494144,-2.540261048,-1.500135865,-0.08325575477,0,1,248,task,30,0,-1610,50,652,0
1,132,315,-1.651737038,-0.5964015823,1.566259889,-2.506402839,-1.499306488,-0.08111927474,0,1,249,task,30,0,-1610,50,652,0
1,132,316,-1.649652899,-0.5698383693,1.500622381,-2.470944337,-1.498643855,-0.07904175323,0,1,250,task,30,0,-1610,50,652,0
1,132,317,-1.647678846,-0.5419112065,1.432637202,-2.434497025,-1.497999792,-0.0770729795,0,1,251,task,30,0,-1610,50,652,0
1,132,318,-1.645775559,-0.5127042368,1.361667358,-2.396006104,-1.497461031,-0.07517271041,0,1,252,task,30,0,-1610,50,652,0
1,132,319,-1.643891826,-0.482312983,1.28677108,-2.353909338,-1.497161989,-0.07328865014,0,1,253,task,30,0,-1610,50,652,0
1,132,320,-1.642101915,-0.449840904,1.207974737,-2.309987531,-1.496873911,-0.07149800717,0,1,254,task,30,0,-1610,50,652,0
1,132,321,-1.640398956,-0.4149249136,1.124438445,-2.263764283,-1.496596012,-0.06979394466,0,1,255,task,30,0,-1610,50,652,0
